,파일명,크기,가로크기,세로크기,모드,포멧
0,C:\Users\zcode\Documents\py\2차\images\강아지1.jpg,"(377, 400)",377,400,RGB,JPEG
1,C:\Users\zcode\Documents\py\2차\images\강아지10.jpg,"(599, 400)",599,400,RGB,JPEG
2,C:\Users\zcode\Documents\py\2차\images\강아지2.jpg,"(584, 400)",584,400,RGB,JPEG
3,C:\Users\zcode\Documents\py\2차\images\강아지3.jpg,"(433, 400)",433,400,RGB,JPEG
4,C:\Users\zcode\Documents\py\2차\images\강아지4.jpg,"(356, 400)",356,400,RGB,JPEG
5,C:\Users\zcode\Documents\py\2차\images\강아지5.jpg,"(564, 400)",564,400,RGB,JPEG
6,C:\Users\zcode\Documents\py\2차\images\강아지6.jpg,"(533, 400)",533,400,RGB,JPEG
7,C:\Users\zcode\Documents\py\2차\images\강아지7.jpg,"(537, 400)",537,400,RGB,JPEG
8,C:\Users\zcode\Documents\py\2차\images\강아지8.jpg,"(533, 400)",533,400,RGB,JPEG
9,C:\Users\zcode\Documents\py\2차\images\강아지9.jpg,"(510, 400)",510,400,RGB,JPEG
10,C:\Users\zcode\Documents\py\2차\images\고양이1.jpg,"(683, 512)",683,512,RGB,JPEG
11,C:\Users\zcode\Documents\py\2차\images\고양이2.jpg,"(650, 433)",650,433,RGB,JPEG
12,C:\Users\zcode\Documents\py\2차\images\고양이3.jpg,"(819, 512)",819,512,RGB,JPEG
13,C:\Users\zcode\Documents\py\2차\images\고양이4.jpg,"(500, 321)",500,321,RGB,JPEG
14,C:\Users\zcode\Documents\py\2차\images\고양이5.jpg,"(683, 512)",683,512,RGB,JPEG
15,C:\Users\zcode\Documents\py\2차\images\고양이6.jpg,"(600, 375)",600,375,RGB,JPEG
